sku,warehouse,quantity,unit_cost,last_restocked
IJ-773246-S,WH-US-03,216,$381.08,10/03/2025
WX-611805-Z,WH-AS-01,1379,343.04,10/22/2025
MN-716198-U,WH-US-01,332,49.18,24-10-2025
YZ-705314-B,WH-AS-02,562,561.52,"October 23, 2025"
AB-617886-Z,WH-US-03,198,488.36,08-10-2025
CD-766179-Y,WH-AS-02,178,$435.03,"October 23, 2025"
KL-831555-B,WH-EU-03,510,220.39,"October 08, 2025"
CD-097781-B,WH-US-02,304,355.76,10/06/2025
AB-075441-C,WH-EU-03,1288,696.58,10/21/2025
ST-883554-B,WH-US-01,147,235.62,12-05-2025
GH-402124-ST,WH US 01,2772,110.10,02-10-2025
GH-054045-B,WH-EU-02,530,$480.11,2025-07-18
KL-609792-V,WH-AS-01,1989,$539.57,09/29/2025
UV-292369-T,WH-US-02,1094,352.03,2025-09-28
ABC-842204-B,WH-AS-02,470,$276.81,2025-10-02
QR-950314-UV,WH-EU-01,360,$116.88,2025-10-14
QR-806934-B,WH-AS-03,356,270.11,2025-10-14
DEF-875244-Z,WH-EU-01,490,562.07,2025-10-23
OP-608040-A,WH-US-03,165,542.91,2025-10-10
GHI-528276-UV,WH EU 02,280,437.65,23-10-2025
EF-639720-B,WH EU 01,558,423.71,2025-10-04
WX-171555-W,WH-EU-01,202,$133.27,"October 23, 2025"
CD-902393-W,WH-EU-02,20,531.39,2025-10-25
OP-907604-T,WH-AS-02,442,458.55,26-10-2025
MN-244962-Z,WH-US-03,549,241.10,11-10-2025
UV-292369-T,WH-US-01,664,341.13,"October 16, 2025"
MN-753470-W,WH-EU-02,12,524.11,05-10-2025
UV-223955-B,WH-AS-01,288,$458.65,"October 24, 2025"
ABC-842204-B,WH-US-02,199,273.96,"October 15, 2025"
YZ-279085-UV,WH-EU-02,292,510.56,"October 26, 2025"
ABC-690305-A,WH-US-03,414,25.43,13-06-2025
EF-010767-Y,WH-EU-02,9,$78.13,2025-10-04
DEF-555816-V,WH-AS-01,2901,$459.40,28-09-2025
DEF-127882-U,WH-EU-02,193,$222.83,2025-10-24
CD-650468-S,WH-AS-03,397,36.50,"October 13, 2025"
CD-650468-S,WH-US-01,"1,029",53.68,"October 08, 2025"
MN-753470-W,WH-EU-02,101,521.09,10/18/2025
QR-702474-Y,WH-US-02,972,$165.92,10/10/2025
GH-077819-Z,WH-US-03,286,$514.33,20-10-2025
CD-943590-W,WH-US-02,438,399.64,"October 21, 2025"
MN-753470-W,WH-EU-02,401,539.84,2025-10-03
UV-251280-V,WH-EU-02,264,$347.42,22-10-2025
ABC-870634-V,WH-AS-01,715,504.36,"September 29, 2025"
GH-404906-UV,WH-AS-03,2258,328.65,2025-10-02
GH-968096-X,WH-AS-02,316,222.38,"October 08, 2025"
GH1-505740-U,WH-US-02,136,188.23,2025-10-14
CD-766179-Y,WH-US-01,1858,$421.75,10/16/2025
CD-845151-W,WH-AS-03,390,321.78,2025-10-26
GH-715825-UV,WH-US-01,174,233.03,20-10-2025
ABC-372507-X,WH-EU-03,559,$403.66,10/10/2025
GH-913804-B,WH-US-01,411,100.25,10/21/2025
KL-778236-Y,WH-EU-01,656,335.44,09/27/2025
ABC-232148-Y,WH-US-01,400,477.88,10/24/2025
GH-371858-RS,WH-US-01,"3,257",393.25,18-10-2025
MN-531458-V,WH-AS-03,1055,$283.89,10/01/2025
IJ-443374-T,WH-US-01,3751,382.93,2025-10-23
UV-840482-ST,WH-EU-03,549,317.57,10/26/2025
GH-377417-ST,WH-US-02,12,536.28,2025-10-11
WX-606397-U,WH-EU-02,438,92.79,"October 17, 2025"
EF-090814-C,WH-EU-03,184,227.80,2025-09-30
ST-582343-T,WH-AS-03,168,$356.61,07/15/2025
WX-460381-UV,WH US 02,318,171.97,13-10-2025
QR-849749-ST,WH-AS-03,748,94.23,2025-10-16
ST-229275-R,WH-US-01,141,247.15,"October 14, 2025"
ST-883554-B,WH-US-03,308,221.65,14-06-2025
OP-210267-ST,WH-US-01,179,374.45,04-06-2025
ABC-166840-Y,WH AS 01,226,$142.92,"October 11, 2025"
UV-223955-B,WH-US-01,288,441.35,2025-10-04
CD-032244-S,WH-EU-03,3434,525.62,10/16/2025
UV-985861-R,WH AS 01,259,205.10,"October 17, 2025"
UV-292369-T,WH-EU-02,742,365.95,"October 14, 2025"
UV-654425-W,WH-US-03,339,285.93,23-10-2025
GH-098251-X,WH-AS-02,495,261.24,"October 16, 2025"
MN-161263-W,WH-AS-02,486,164.09,12-10-2025
OP-718870-W,WH-AS-03,192,85.02,10/10/2025
AB-189073-C,WH-EU-01,4,216.97,22-10-2025
AB-589508-U,WH-US-03,159,187.48,"September 28, 2025"
MN-716198-U,WH-US-02,429,48.76,10/26/2025
GH-985539-UV,WH-AS-02,19,189.00,10/25/2025
CD-901300-Y,WH-AS-02,268,305.30,09/28/2025
ST-229275-R,WH-EU-02,216,254.80,08-10-2025
GHI-847721-X,WH-EU-02,212,$407.40,10/05/2025
QR-530959-Y,WH-AS-03,3207,$561.84,09/30/2025
IJ-669061-V,WH-AS-01,405,$420.49,11-10-2025
GHI-993842-Z,WH-US-02,448,35.53,"October 06, 2025"
EF-579856-V,WH-EU-03,"2,701",$228.85,10/06/2025
MN-563336-Y,WH-EU-01,533,331.50,09/29/2025
CD-053578-A,WH-US-02,339,278.84,"October 05, 2025"
GH-913804-B,WH-EU-02,416,92.75,"October 12, 2025"
KL-561086-C,WH-US-03,323,$336.67,05-10-2025
EF-922981-U,WH-EU-01,508,215.71,18-10-2025
GH-755717-UV,WH-EU-01,"1,063",212.21,10/07/2025
IJ-286577-V,WH-US-01,3438,$332.20,10/10/2025
IJ-259607-C,WH-AS-03,369,514.99,2025-10-25
ST-978017-B,WH-US-02,10,$109.38,2025-04-15
OP-210267-ST,WH-AS-01,598,703.54,15-04-2025
GHI-415850-UV,WH-US-02,627,$265.17,10/12/2025
OP-210267-ST,WH-AS-02,1440,393.45,2025-10-11
MN-451770-RS,WH-AS-03,339,$240.68,10/16/2025
OP-811620-V,WH-US-02,683,875.49,30-09-2025
UV-488575-Y,WH-AS-02,186,336.39,"October 02, 2025"
QR-525902-RS,WH-AS-02,1031,538.05,2025-05-23
MN-531458-V,WH-EU-03,896,283.83,10/24/2025
QR-784300-A,WH-AS-03,644,431.39,2025-10-10
MN-721892-B,WH-AS-01,387,$218.75,"October 21, 2025"
GH-715825-UV,WH-EU-03,757,154.03,2025-10-04
YZ-279085-UV,WH-US-03,1970,519.17,25-10-2025
GH-968096-X,WH-EU-03,225,241.97,17-10-2025
WX-922406-ST,WH-AS-03,299,269.39,10/10/2025
EF-540131-U,WH-EU-02,413,274.91,2025-10-11
GH-098251-X,WH-US-03,418,273.89,04-10-2025
AB-701305-ST,WH-EU-03,971,457.98,11-10-2025
OP-172339-Y,WH-AS-03,997,522.64,09-10-2025
ABC-626380-S,WH-AS-01,346,489.02,"October 15, 2025"
EF-620176-X,WH-EU-02,140,61.29,09/27/2025
OP-424389-S,WH-AS-02,211,75.97,2025-10-21
DEF-300105-X,WH US 02,353,161.12,10/05/2025
MN-268095-R,WH-US-03,592,402.61,09/30/2025
EF-090814-C,WH-US-02,1720,236.53,10/09/2025
CD-004717-W,WH-US-02,1881,$145.64,10/01/2025
OP-608040-A,WH-US-02,513,560.07,2025-10-14
YZ-281746-S,WH-EU-03,648,326.80,10/08/2025
AB-701305-ST,WH-AS-02,437,471.99,01-10-2025
GHI-255801-RS,WH-AS-03,655,$220.50,10/06/2025
IJ-573092-R,WH-EU-03,505,479.18,10/11/2025
WX-171555-W,WH-US-03,361,256.78,04-10-2025
KL-566579-RS,WH-EU-02,432,$135.54,10/02/2025
WX-611805-Z,WH-US-01,840,344.60,2025-10-16
GH-399591-V,WH-EU-02,484,493.72,"October 19, 2025"
OP-718870-W,WH-US-02,349,93.39,"April 24, 2025"
UV-654425-W,WH-EU-01,395,287.88,27-09-2025
CD-650468-S,WH-EU-01,1569,35.62,"October 03, 2025"
QR-486100-U,WH-US-01,2,59.60,10/11/2025
IJ-278312-S,WH-US-02,278,$327.11,"September 30, 2025"
AB-098793-UV,WH-US-02,444,113.31,17-10-2025
QR-849749-ST,WH-EU-02,265,$96.73,26-10-2025
IJ-669061-V,WH-AS-03,455,370.66,10/13/2025
EF-922981-U,WH-AS-01,2287,$207.43,06-10-2025
EF-624939-S,WH-AS-03,362,$144.64,24-10-2025
WX-171555-W,WH-EU-01,151,$133.27,"October 23, 2025"
MN-268095-R,WH-EU-02,195,217.44,28-09-2025
GHI-163316-U,WH-EU-03,9,519.78,"October 25, 2025"
AB-796667-RS,WH-AS-03,219,37.34,"October 12, 2025"
AB-589508-U,WH-AS-03,562,208.96,02-10-2025
YZ-279085-UV,WH-EU-02,305,522.89,10/19/2025
ST-532756-V,WH-AS-03,2319,$283.48,10/03/2025
YZ-711219-C,WH-EU-02,344,$338.08,10/08/2025
DEF-875244-Z,WH-AS-03,278,$549.08,2025-10-05
GH-161265-8,WH-EU-02,251,$427.47,"October 07, 2025"
OP-608040-A,WH-AS-01,452,920.22,"October 22, 2025"
QR-806934-B,WH-AS-03,486,259.02,"October 03, 2025"
ABC-490710-ST,WH-US-01,299,170.99,"October 21, 2025"
MN-748581-V,WH-EU-03,480,275.33,10/17/2025
ST-883554-B,WH-AS-01,438,365.82,10/21/2025
ABC-343027-X,WH-AS-01,401,171.60,"October 09, 2025"
GH-077819-Z,WH-AS-02,214,536.51,05-10-2025
OP-210267-ST,WH-AS-01,752,396.05,16-10-2025
KL-925231-X,WH AS 02,519,265.09,2025-10-03
ABC-002773-Z,WH-EU-01,757,199.01,2025-10-12
CD-943590-W,WH-EU-03,625,720.24,11-10-2025
YZ-279085-UV,WH-EU-02,557,523.80,10/14/2025
KL-733052-X,WH-EU-03,661,587.24,10/15/2025
KL-566579-RS,WH-AS-02,203,135.46,"October 12, 2025"
GH-027225-C,WH-EU-03,158,165.51,"October 02, 2025"
ST-252083-R,WH-EU-02,372,45.68,22-10-2025
UV-223955-B,WH-EU-02,305,$178.88,28-09-2025
DEF-150811-V,WH-AS-03,809,458.00,11-07-2025
QR-525902-RS,WH-US-03,527,540.62,09/29/2025
KL-533342-UV,WH-EU-01,2266,55.10,10/25/2025
KL-566579-RS,WH-EU-02,426,138.40,"October 24, 2025"
CD-766179-Y,WH-US-03,1258,$414.53,10/06/2025
KL-060642-Z,WH-US-02,4299,38.69,23-10-2025
OP-280766-T,WH-EU-01,320,97.64,2025-10-11
QR-530959-Y,WH-US-01,399,549.63,10/17/2025
WX-460381-UV,WH-EU-02,343,187.78,15-05-2025
CD-766179-Y,WH-AS-01,2737,$432.02,2025-10-02
OP-068136-W,WH-EU-03,998,$505.17,2025-10-01
OP-234752-R,WH-US-03,296,552.63,30-09-2025
QR-702474-Y,WH-EU-03,849,96.20,10/15/2025
OP-424389-S,WH-EU-02,98,21.48,09-10-2025
IJ-971733-UV,WH-AS-03,737,254.21,10/14/2025
ST-480434-W,WH-EU-01,716,274.03,"October 22, 2025"
GHI-833291-UV,WH-AS-01,687,$274.87,"September 30, 2025"
DEF-709446-U,WH-US-02,756,$150.54,2025-10-12
DEF-555816-V,WH-EU-02,243,463.13,10/10/2025
QR-849749-ST,WH-AS-03,619,$92.42,10/02/2025
GHI-856662-S,WH-US-02,403,433.81,2025-10-13
DEF-875244-Z,WH-US-02,450,1021.50,"September 28, 2025"
CD-901300-Y,WH EU 03,281,$308.37,10/17/2025
CD-032244-S,WH-US-01,529,540.78,2025-10-08
QR-849749-ST,WH-US-01,200,182.83,"May 22, 2025"
CD-901300-Y,WH-US-02,652,307.45,06-10-2025
MN-382913-X,WH-US-03,398,275.16,2025-10-24
KL-533342-UV,WH-EU-01,476,$53.72,14-10-2025
5T-582343-T,WH-EU-01,294,335.72,2025-10-11
AB-075441-C,WH-AS-01,296,425.97,10/13/2025
ABC-372507-X,WH-EU-03,770,404.23,26-10-2025
GH-402124-ST,WH-EU-03,17,116.67,10/20/2025
GH-261735-U,WH-AS-01,507,531.28,"October 23, 2025"
GH-715825-UV,WH-EU-02,284,152.00,10/22/2025
MN-563336-Y,WH-AS-03,492,360.70,29-09-2025
CD-943590-W,WH-US-01,593,384.13,10/03/2025
OP-718870-W,WH-EU-01,791,$89.33,10/18/2025
EF-540131-U,WH-AS-02,400,283.03,2025-09-27
QR-486100-U,WH-US-01,2,59.60,10/11/2025
KL-778236-Y,WH-AS-01,734,$182.71,"September 28, 2025"
ST-480434-W,WH-AS-03,2111,$281.56,09-10-2025
OP-608040-A,WH-US-02,449,570.57,2025-09-28
UV-985861-R,WH-EU-01,716,191.73,10/15/2025
GH-985539-UV,WH-US-03,599,189.74,2025-10-07
MN-801581-W,WH-AS-01,129,459.31,10/04/2025
ST-532756-V,WH US 02,744,164.66,2025-10-21
YZ-401156-A,WH-EU-01,1273,157.99,2025-10-22
IJ-773246-S,WH-US-02,534,370.93,28-09-2025
GHI-255801-RS,WH-EU-02,118,235.03,19-10-2025
ST-532756-V,WH-EU-03,264,$162.82,"October 03, 2025"
WX-299830-T,WH-EU-03,449,343.60,13-10-2025
KL-691855-S,WH-AS-02,444,137.13,10/23/2025
ABC-589153-R,WH-AS-01,15,395.43,06-10-2025
AB-589508-U,WH-EU-01,1522,365.45,09/29/2025
UV-985861-R,WH-EU-03,582,195.90,2025-10-02
ST-582343-T,WH-AS-01,554,$355.76,2025-10-17
ABC-842204-B,WH-AS-01,475,$267.46,02-10-2025
CD-032244-S,WH-US-02,201,542.36,10/24/2025
OP-234752-R,WH-AS-01,316,550.14,"October 24, 2025"
KL-733052-X,WH-EU-01,304,$548.84,2025-10-01
KL-566579-RS,WH-US-01,613,124.92,28-09-2025
ST-252083-R,WH-EU-03,793,44.82,2025-09-30
GH-779480-Z,WH US 03,511,550.86,2025-10-04
QR-525902-RS,WH-AS-02,"1,004",538.05,2025-05-23
ABC-363479-C,WH-EU-02,283,149.89,2025-10-12
GHI-847721-X,WH-AS-02,501,397.26,02-10-2025
ABC-166840-Y,WH-AS-02,265,$138.52,"October 07, 2025"
IJ-573092-R,WH-US-02,541,464.85,2025-10-26
OP-172339-Y,WH EU 03,684,$537.88,2025-10-21
MN-268095-R,WH-AS-01,544,395.88,"October 23, 2025"
MN-716198-U,WH US 01,456,20.92,10/08/2025
IJ-535277-Y,WH-EU-01,780,$186.34,2025-10-08
DEF-709446-U,WH-US-03,2,151.24,10/17/2025
UV-985861-R,WH-US-03,498,188.07,09-10-2025
KL-561086-C,WH-AS-03,149,320.98,27-09-2025
WX-611805-Z,WH-US-02,1515,$334.78,06-10-2025
QR-530959-Y,WH-US-03,663,544.97,"October 08, 2025"
EF-893697-T,WH-EU-01,429,539.36,17-10-2025
ABC-223086-UV,WH-US-01,428,$324.93,"October 09, 2025"
QR-486100-U,WH-EU-01,786,61.05,"October 25, 2025"
KL-831555-B,WH-EU-01,1813,$413.86,04-10-2025
MN-161263-W,WH-EU-03,184,33.43,2025-10-18
IJ-669061-V,WH-EU-02,196,$773.07,28-09-2025
GHI-021422-S,WH-US-01,432,202.66,10/01/2025
CD-902393-W,WH-US-03,761,506.75,"October 23, 2025"
AB-714328-C,WH-US-02,757,279.70,02-10-2025
CD-053578-A,WH-EU-03,645,269.27,2025-10-25
GHI-255801-RS,WH-EU-02,180,220.56,2025-10-16
