converted,age,income,last_login_days,plan_tier,source,country,sessions,avg_session_minutes,email,device_type,signup_month,engagement_score
1,29.0,,200.0,basic,referral,US,2.0,,user209@domain9.com,tablet,Aug,8.590881000826613
1,30.0,,2.0,pro,organic,US,9.0,16.0,user604@domain4.com,mobile,Dec,24.88797392953332
1,26.0,68000.0,3.0,pro,organic,US,11.0,17.0,user692@domain42.com,tablet,Jan,13.057991303956639
1,35.0,88000.0,1.0,,referral,CA,15.0,18.2,user662@domain12.com,smart_tv,Jan,19.214812690106516
1,27.0,70000.0,5.0,pro,referral,CA,,14.4,user866@domain16.com,mobile,Aug,
1,31.0,76000.0,8.0,pro,ads,US,8.0,,user70@domain20.com,mobile,May,-4.358965085204437
1,,31000.0,120.0,basic,ads,GB,1.0,3.1,user543@domain43.com,desktop,Apr,3.220499369238935
1,,,90.0,basic,,GB,4.0,,user107@domain7.com,smart_tv,Jul,8.145188062475563
1,52.0,40000.0,250.0,basic,ads,GB,2.0,4.0,user493@domain43.com,smart_tv,Nov,3.9791322782112664
1,31.0,76000.0,8.0,pro,ads,US,8.0,13.9,user590@domain40.com,mobile,Mar,12.988316358067433
1,41.0,39000.0,45.0,basic,organic,US,3.0,5.0,user741@domain41.com,desktop,Mar,
1,26.0,68000.0,3.0,pro,organic,US,11.0,17.0,user292@domain42.com,desktop,Sep,10.860840565385857
1,76.13232666455934,32000.0,200.0,basic,referral,US,2.0,4.1,user289@domain39.com,mobile,Jul,
0,,68000.0,3.0,pro,organic,US,11.0,17.0,user652@domain2.com,tablet,Sep,12.503502522054976
1,60.0,38000.0,400.0,basic,,US,1.0,,user39@domain39.com,tablet,Nov,8.708506475341283
1,29.0,32000.0,200.0,basic,referral,US,2.0,,user589@domain39.com,mobile,Dec,11.732016058139596
1,38.0,,90.0,basic,organic,GB,4.0,6.2,user307@domain7.com,wearable,May,3.9907781021758044
1,60.0,38000.0,400.0,basic,ads,US,1.0,,user679@domain29.com,tablet,Sep,12.777112546935301
1,27.0,70000.0,5.0,pro,referral,CA,12.0,14.4,user66@domain16.com,wearable,Feb,17.463105564738992
1,23.0,29000.0,140.0,basic,organic,US,1.0,3.2,user275@domain25.com,desktop,Oct,
1,38.0,50000.0,90.0,basic,organic,GB,4.0,6.2,user67@domain17.com,desktop,Oct,9.1049732655176
1,29.0,,,pro,organic,GB,8.0,13.2,user318@domain18.com,mobile,Feb,22.032652495367316
1,33.0,82000.0,,pro,ads,US,10.0,15.5,user548@domain48.com,desktop,Dec,14.83509515519456
1,11.956523527046407,64000.0,9.0,pro,organic,GB,308.61254370922734,13.2,user998@domain48.com,tablet,Feb,
0,36.0,90000.0,6.0,pro,referral,US,13.0,,user714@domain14.com,mobile,May,11.195960643570082
1,52.0,,2032.345568341225,basic,ads,GB,,4.0,user753@domain3.com,tablet,Oct,3.828780333471916
1,38.0,50000.0,90.0,basic,organic,GB,4.0,6.2,user327@domain27.com,mobile,Nov,1.784169105725712
1,35.0,88000.0,1.0,pro,referral,CA,15.0,18.2,user382@domain32.com,mobile,Nov,10.172805806155893
1,45.0,42000.0,365.0,basic,organic,CA,1.0,2.8,user451@domain1.com,,Sep,
1,35.0,88000.0,1.0,pro,referral,CA,15.0,18.2,user522@domain22.com,desktop,Dec,19.089265414581902
1,29.0,,,pro,organic,GB,8.0,13.2,user218@domain18.com,tablet,Aug,15.42978595916907
1,38.0,,90.0,basic,organic,GB,4.0,6.2,user787@domain37.com,mobile,Jul,9.402635758303157
1,32.0,80000.0,7.0,pro,,CA,9.0,12.9,user436@domain36.com,desktop,Mar,19.163971957627773
1,,,2.0,pro,organic,US,9.0,16.0,user764@domain14.com,mobile,Apr,15.319087996762994
0,89.61004402071343,82000.0,4.0,pro,ads,US,10.0,15.5,user88@domain38.com,mobile,Dec,12.086417204584734
1,22.0,31000.0,120.0,basic,ads,GB,1.0,3.1,user63@domain13.com,mobile,Nov,0.4274624819969377
1,27.0,,5.0,pro,referral,CA,12.0,14.4,user826@domain26.com,wearable,Jan,18.233032173172347
1,,80000.0,7.0,pro,ads,CA,9.0,12.9,user716@domain16.com,mobile,Apr,10.950717673929212
1,45.0,42000.0,365.0,basic,,CA,1.0,2.8,user351@domain1.com,desktop,Apr,1.599570652313216
1,32.0,80000.0,7.0,pro,ads,CA,9.0,12.9,user936@domain36.com,,Feb,17.544004452317623
1,32.0,,7.0,pro,ads,CA,9.0,12.9,user256@domain6.com,desktop,Apr,18.31949469954496
1,23.0,29000.0,486.18274620637993,basic,organic,US,1.0,3.2,user635@domain35.com,desktop,Feb,5.571676424012484
1,30.0,61000.0,,,,US,9.0,16.0,user644@domain44.com,desktop,Aug,9.35477115962421
0,36.0,90000.0,21.723078077790497,pro,referral,US,13.0,19.0,user554@domain4.com,mobile,Nov,13.338077286038768
1,,40433.78700364622,400.0,basic,ads,US,1.0,,user959@domain9.com,tablet,Nov,5.352911928639801
1,33.0,,4.0,pro,ads,US,,15.5,user168@domain18.com,desktop,Nov,
1,48.0,43000.0,300.0,basic,referral,US,2.0,4.6,user917@domain17.com,desktop,Jan,4.164591673760927
1,33.0,82000.0,,pro,ads,US,10.0,,user528@domain28.com,,Feb,13.917721668664015
1,22.0,,120.0,basic,ads,GB,1.0,3.1,user823@domain23.com,mobile,Feb,3.6597377610509425
1,55.0,45000.0,300.0,basic,ads,US,,4.5,user985@domain35.com,tablet,Feb,19.00774370519361
1,,80000.0,7.0,,ads,CA,9.0,,user816@domain16.com,mobile,Oct,8.926456161037597
1,27.0,70000.0,,pro,referral,CA,12.0,14.4,user86@domain36.com,mobile,Jan,24.85650646864874
1,,68000.0,3.0,pro,organic,US,11.0,17.0,user432@domain32.com,wearable,Jan,14.238753922258887
0,30.0,70045.0876894275,2.0,pro,organic,US,9.0,16.0,user184@domain34.com,mobile,Jan,13.858310598985824
0,29.0,64000.0,,pro,organic,GB,8.0,13.2,user978@domain28.com,,Sep,
1,,90000.0,6.0,pro,referral,US,13.0,19.0,user534@domain34.com,smart_tv,May,15.475997979148477
1,36.0,90000.0,6.0,pro,referral,US,13.0,19.0,user294@domain44.com,desktop,Jun,22.908573679641258
1,26.0,68000.0,3.0,pro,organic,US,11.0,17.0,user892@domain42.com,smart_tv,Jun,20.934914096375103
1,55.0,,,basic,ads,US,2.0,,user425@domain25.com,desktop,May,5.078362144774609
1,52.0,40000.0,250.0,basic,ads,GB,2.0,4.0,user713@domain13.com,mobile,Jan,3.0974265472817555
1,28.0,52000.0,3.0,,ads,US,7.0,12.5,user260@domain10.com,mobile,Mar,9.518765968709758
1,48.0,,,basic,referral,US,2.0,4.6,user237@domain37.com,wearable,Apr,3.8361215412489353
1,,38000.0,400.0,basic,ads,US,1.0,2.5,user559@domain9.com,desktop,Jul,-3.542739883954342
1,22.0,31000.0,120.0,basic,ads,GB,1.0,3.1,user583@domain33.com,desktop,Mar,4.0520233714826155
1,55.0,45000.0,300.0,basic,ads,US,2.0,4.5,user445@domain45.com,desktop,Jul,-3.5603872988726497
1,38.0,538008.9513291614,90.0,basic,organic,GB,4.0,6.2,user867@domain17.com,wearable,Jan,4.244891897091128
1,28.0,52000.0,3.0,pro,ads,US,7.0,,user800@domain0.com,mobile,May,11.911316137147942
1,60.0,38000.0,400.0,basic,ads,US,1.0,2.5,user599@domain49.com,desktop,Nov,-7.655270204922924
1,29.0,32000.0,200.0,,referral,US,,4.1,user849@domain49.com,mobile,Nov,6.572658001509299
1,,45000.0,300.0,basic,ads,US,2.0,4.5,user265@domain15.com,desktop,Apr,
1,23.0,29000.0,,basic,organic,US,1.0,,user995@domain45.com,desktop,Jun,9.451529311739359
1,9.739285321602114,32000.0,200.0,basic,referral,US,2.0,4.1,user529@domain29.com,desktop,May,5.939208231662046
1,23.0,,140.0,basic,,US,1.0,,user55@domain5.com,smart_tv,Sep,
1,28.0,52000.0,3.0,pro,,US,7.0,12.5,user120@domain20.com,tablet,Dec,8.184451071167725
1,77.58291713642541,29000.0,,basic,organic,US,1.0,3.2,user215@domain15.com,desktop,Jan,4.869305983079572
1,55.0,45000.0,300.0,basic,ads,US,2.0,4.5,user25@domain25.com,mobile,Apr,0.9672415409422612
1,,68000.0,3.0,pro,organic,US,11.0,17.0,user72@domain22.com,desktop,Sep,15.965623732132181
1,,178724.2775253067,2.0,,organic,US,,16.0,user44@domain44.com,mobile,Oct,10.992389012141679
1,,,90.0,basic,organic,GB,4.0,6.2,user247@domain47.com,mobile,Jul,2.126254817039263
1,41.0,39000.0,45.0,basic,organic,US,3.0,5.0,user721@domain21.com,desktop,Jan,10.18477830740647
1,41.0,,45.0,basic,organic,US,3.0,5.0,user281@domain31.com,tablet,Sep,8.28424598535273
1,154.1552981989621,40000.0,250.0,basic,ads,GB,2.0,4.0,user893@domain43.com,,Apr,-3.5898281112239325
1,36.0,90000.0,6.0,pro,referral,US,13.0,19.0,user914@domain14.com,mobile,Apr,22.68385168317069
1,31.0,76000.0,8.0,pro,ads,US,8.0,13.9,user810@domain10.com,tablet,Jan,8.989691819622436
1,,61000.0,2.0,pro,organic,US,9.0,16.0,user244@domain44.com,,Oct,18.092901344149404
1,35.0,88000.0,1.0,pro,referral,CA,15.0,18.2,user822@domain22.com,tablet,Sep,19.250205105001353
1,,39000.0,,basic,organic,US,3.0,5.0,user321@domain21.com,mobile,Aug,15.357515408298683
1,22.0,31000.0,120.0,basic,,GB,1.0,3.1,user643@domain43.com,,Feb,6.133012939757435
1,29.0,64000.0,9.0,pro,organic,GB,8.0,13.2,user158@domain8.com,,Dec,11.998363647384453
1,48.0,,300.0,,referral,US,2.0,4.6,user977@domain27.com,mobile,Jul,-0.11521255725540636
1,29.0,,200.0,basic,referral,US,2.0,4.1,user429@domain29.com,mobile,Mar,6.297181622879816
1,41.0,39000.0,45.0,basic,organic,US,3.0,,user941@domain41.com,mobile,Aug,7.454345577795651
1,35.0,,1.0,pro,referral,CA,15.0,18.2,user462@domain12.com,tablet,Jul,16.896665430360592
1,29.0,32000.0,200.0,basic,,US,2.0,4.1,user309@domain9.com,mobile,Aug,-1.458791121678635
1,48.0,43000.0,300.0,basic,referral,US,,4.6,user697@domain47.com,mobile,Feb,6.982048818584094
1,28.0,52000.0,3.0,pro,,US,7.0,12.5,user60@domain10.com,desktop,Dec,8.699641038494025
1,30.0,559814.1579391666,2.0,,,US,9.0,16.0,user884@domain34.com,mobile,Mar,14.310686704827217
1,23.0,,140.0,basic,organic,US,1.0,3.2,user595@domain45.com,mobile,Feb,-3.4594549175860494
1,38.0,50000.0,90.0,basic,organic,GB,4.0,6.2,user767@domain17.com,smart_tv,May,-5.787628116459072
1,29.0,32000.0,200.0,basic,referral,US,2.0,4.1,user649@domain49.com,mobile,Mar,-1.8071336522811974
1,31.0,76000.0,8.0,pro,ads,US,8.0,1.8091783706657427,user650@domain0.com,wearable,Mar,6.256687268161098
1,,45000.0,300.0,basic,ads,US,2.0,4.5,user865@domain15.com,tablet,Dec,3.413642381397615
1,33.0,,4.0,,ads,US,,15.5,user668@domain18.com,desktop,Jan,2.967151600076468
1,29.0,,9.0,,organic,GB,8.0,13.2,user298@domain48.com,,Apr,8.216696764671344
1,29.0,,200.0,basic,referral,US,2.0,4.1,user689@domain39.com,,Nov,5.254383671893255
1,107.06134174084806,90000.0,6.0,pro,referral,US,13.0,19.0,user314@domain14.com,desktop,Sep,20.528943207944337
1,,76000.0,8.0,,ads,US,8.0,13.9,user310@domain10.com,desktop,Mar,9.562832421265275
1,41.0,39000.0,45.0,basic,organic,US,3.0,,user361@domain11.com,tablet,Dec,
1,60.0,,400.0,basic,ads,US,1.0,2.5,user479@domain29.com,mobile,Aug,0.7168695750786784
1,31.0,76000.0,8.0,pro,ads,US,8.0,,user110@domain10.com,desktop,Jun,20.98758981717136
1,29.0,32000.0,200.0,basic,referral,US,2.0,4.1,user989@domain39.com,mobile,Feb,2.1603439066652594
1,27.0,70000.0,,pro,,CA,12.0,14.4,user486@domain36.com,desktop,Jan,8.309166020593928
1,22.0,,120.0,basic,ads,GB,1.0,3.1,user363@domain13.com,desktop,Mar,9.902661403025078
0,36.0,90000.0,6.0,pro,referral,US,13.0,19.0,user254@domain4.com,mobile,Sep,18.310967688939684
1,60.0,38000.0,400.0,basic,ads,US,1.0,,user259@domain9.com,mobile,Feb,12.363838963731517
1,35.0,,1.0,,referral,CA,15.0,18.2,user802@domain2.com,smart_tv,Dec,14.73693507249306
1,48.0,9163.62272451597,300.0,,referral,US,2.0,,user677@domain27.com,,Jan,10.154780078843036
1,36.0,90000.0,6.0,,referral,US,13.0,19.0,user494@domain44.com,desktop,Oct,17.693252053522414
1,31.0,,8.0,pro,ads,US,8.0,13.9,user670@domain20.com,mobile,Apr,11.680080205667217
1,48.0,43000.0,,basic,referral,US,2.0,4.6,user377@domain27.com,wearable,Sep,
1,27.0,70000.0,5.0,pro,referral,CA,12.0,14.4,user526@domain26.com,mobile,Oct,8.215375792637822
1,55.0,45000.0,300.0,,ads,US,2.0,4.5,user845@domain45.com,wearable,Aug,4.13277616721581
1,48.0,43000.0,300.0,basic,,US,2.0,4.6,user137@domain37.com,smart_tv,May,-6.539561479947942
1,23.0,,140.0,basic,organic,US,1.0,,user355@domain5.com,desktop,Sep,4.149850230053826
1,55.0,82158.27959623012,300.0,basic,ads,US,2.0,31.429729949603193,user365@domain15.com,mobile,May,17.45162306477231
1,35.0,88000.0,1.0,pro,referral,CA,15.0,,user942@domain42.com,mobile,Sep,
1,29.0,32000.0,200.0,basic,referral,US,2.0,4.1,user749@domain49.com,,Aug,
1,33.0,,15.983332908711732,pro,ads,US,10.0,15.5,user948@domain48.com,desktop,Aug,5.835772526909922
1,29.0,32000.0,200.0,basic,,US,2.0,3.190758060437933,user829@domain29.com,desktop,Apr,-1.655896657163733
1,32.0,80000.0,7.0,pro,ads,CA,9.0,12.9,user656@domain6.com,mobile,Jan,8.642425212570982
1,60.0,38000.0,400.0,basic,ads,US,1.0,,user199@domain49.com,tablet,Feb,2.160101884624564
1,,40000.0,250.0,basic,ads,GB,2.0,4.0,user213@domain13.com,desktop,Oct,
0,33.0,,4.0,pro,ads,US,10.0,15.5,user408@domain8.com,mobile,Sep,16.307045420427755
1,26.0,75612.0361465723,3.0,pro,,US,11.0,17.0,user332@domain32.com,smart_tv,Mar,
1,33.0,82000.0,4.0,pro,,US,10.0,15.5,user208@domain8.com,mobile,Mar,11.001205307192283
1,52.0,,250.0,basic,ads,GB,2.0,,user613@domain13.com,mobile,Oct,15.052083332614842
0,29.0,64000.0,9.0,pro,,GB,392.8649075685653,13.2,user78@domain28.com,desktop,Mar,129.08482721827292
1,29.0,32000.0,200.0,basic,referral,US,2.0,4.1,user29@domain29.com,desktop,Nov,16.70682843683524
1,23.0,29000.0,140.0,basic,organic,US,1.0,3.2,user535@domain35.com,mobile,May,4.348954458312399
1,23.0,29000.0,,basic,organic,US,34.38388839254017,3.2,user695@domain45.com,,Oct,
1,48.0,,300.0,basic,referral,US,2.0,4.6,user557@domain7.com,mobile,Dec,10.276181113006952
1,32.0,80000.0,7.0,pro,,CA,9.0,12.9,user836@domain36.com,mobile,Feb,10.59134966670337
1,32.0,80000.0,7.0,pro,ads,CA,9.0,12.9,user596@domain46.com,mobile,Nov,
1,55.0,45000.0,300.0,basic,ads,US,2.0,4.5,user165@domain15.com,tablet,Dec,7.878218731903651
1,29.0,64000.0,9.0,,organic,GB,8.0,13.2,user918@domain18.com,wearable,Dec,8.716785811942898
1,23.0,,140.0,basic,organic,US,1.0,7.2808167801383,user495@domain45.com,desktop,Dec,0.7586096071577746
1,30.0,,2.0,pro,organic,US,9.0,16.0,user824@domain24.com,desktop,Sep,6.035257963693042
1,55.0,45000.0,300.0,basic,ads,US,2.0,4.5,user65@domain15.com,mobile,May,15.03659360353083
1,41.0,39000.0,45.0,basic,organic,US,3.0,4.4530186030859085,user141@domain41.com,,May,6.076909607741129
1,55.0,45000.0,300.0,basic,ads,US,2.0,4.5,user925@domain25.com,tablet,Sep,9.921533829686535
1,38.0,,90.0,basic,,GB,4.0,,user827@domain27.com,desktop,Jul,19.451451561121146
1,23.0,29000.0,140.0,basic,organic,US,1.0,3.2,user655@domain5.com,mobile,May,-4.5659036529107055
1,65.49472065518658,,365.0,basic,organic,CA,1.0,2.8,user331@domain31.com,desktop,Sep,-5.597945031921885
1,30.0,61000.0,2.0,pro,,US,9.0,16.0,user664@domain14.com,smart_tv,Jan,16.341778275032986
1,,32000.0,200.0,basic,referral,US,2.0,4.1,user249@domain49.com,mobile,Dec,
1,38.0,,90.0,basic,organic,GB,4.0,6.2,user907@domain7.com,wearable,Mar,4.494275834642567
0,33.0,82000.0,4.0,pro,ads,US,10.0,,user708@domain8.com,desktop,Feb,1.6980419122013757
1,55.0,612553.6650227455,300.0,basic,ads,US,2.0,4.5,user305@domain5.com,mobile,Apr,7.194425253188505
1,36.0,,6.0,pro,referral,US,13.0,19.0,user734@domain34.com,desktop,Jan,15.264360812614227
1,23.0,29000.0,140.0,basic,organic,US,1.0,3.2,user975@domain25.com,smart_tv,Aug,1.7977621617488944
1,29.0,32000.0,200.0,basic,referral,US,,,user49@domain49.com,,Sep,4.304452834606103
1,32.0,80000.0,42.72254015241466,pro,ads,CA,9.0,12.9,user896@domain46.com,desktop,Nov,
1,35.0,88000.0,1.0,pro,referral,CA,15.0,18.2,user2@domain2.com,,Nov,24.243614935285315
1,30.0,61000.0,2.0,,,US,9.0,16.0,user544@domain44.com,mobile,Jun,11.871991950189585
0,31.0,9002.78407016943,8.0,pro,ads,US,8.0,13.9,user350@domain0.com,desktop,Jun,
1,,,2.0,,organic,US,9.0,16.0,user904@domain4.com,mobile,Jul,16.04573254519912
1,32.0,80000.0,7.0,,,CA,9.0,12.9,user536@domain36.com,smart_tv,Aug,10.81863241227342
1,30.0,61000.0,2.0,pro,organic,US,9.0,16.0,user344@domain44.com,mobile,Apr,21.925790592627102
1,36.0,90000.0,6.0,,referral,US,,19.0,user994@domain44.com,mobile,Jul,15.683080881100958
1,41.0,39000.0,45.0,basic,organic,US,3.0,,user481@domain31.com,tablet,Mar,
1,23.0,29000.0,140.0,basic,,US,1.0,3.2,user575@domain25.com,desktop,Nov,-1.3760655950078617
1,52.0,6645.690640878918,250.0,basic,ads,GB,2.0,4.0,user33@domain33.com,,May,-6.30079692629417
1,45.0,,365.0,basic,organic,CA,39.41042237186892,2.8,user31@domain31.com,mobile,Feb,7.328975506811115
1,45.0,42000.0,365.0,basic,organic,CA,1.0,2.8,user231@domain31.com,mobile,Jan,12.605944924285241
1,22.0,31000.0,120.0,basic,ads,GB,1.0,,user963@domain13.com,smart_tv,Dec,10.917509610445496
1,26.0,68000.0,3.0,pro,organic,US,,17.0,user192@domain42.com,mobile,Sep,16.586667106277805
1,52.0,,,,ads,GB,2.0,4.0,user333@domain33.com,desktop,Sep,4.041720865613619
1,22.0,31000.0,120.0,basic,ads,GB,1.0,3.1,user3@domain3.com,tablet,Feb,2.212359106281946
1,30.0,,2.0,pro,organic,US,9.0,16.0,user204@domain4.com,desktop,Jun,16.456233370126974
0,102.46759878470085,,6.0,pro,referral,US,13.0,19.0,user514@domain14.com,mobile,Oct,19.58756847481494
1,60.0,38000.0,400.0,basic,ads,US,1.0,2.5,user799@domain49.com,mobile,Feb,9.630121941972181
1,,70000.0,5.0,pro,,CA,12.0,31.931287717333976,user306@domain6.com,mobile,Dec,22.566689412948087
1,29.0,,,basic,referral,US,2.0,0.41339657985033984,user109@domain9.com,smart_tv,Apr,-8.009350758593593
1,,76000.0,8.0,,ads,US,8.0,13.9,user430@domain30.com,mobile,May,15.849335454963526
1,48.0,270547.13371845946,,basic,,US,2.0,,user77@domain27.com,mobile,Jan,
0,30.0,61000.0,2.0,pro,organic,US,9.0,,user84@domain34.com,wearable,May,17.501798233359644
1,27.0,70000.0,,,referral,CA,12.0,14.4,user286@domain36.com,mobile,Dec,
0,35.0,88000.0,1.0,pro,referral,CA,15.0,,user82@domain32.com,,Nov,19.14148552132212
0,45.0,,365.0,basic,organic,CA,1.0,2.8,user991@domain41.com,mobile,Jul,0.4846415249230376
0,29.0,32000.0,200.0,basic,referral,US,,4.1,user789@domain39.com,desktop,Feb,7.562720157361037
0,36.0,,,,referral,US,13.0,19.0,user894@domain44.com,desktop,Jan,22.23111481079651
0,29.0,64000.0,9.0,pro,organic,GB,8.0,13.2,user398@domain48.com,mobile,Sep,10.966642683687178
0,22.0,,,basic,ads,GB,,3.1,user323@domain23.com,mobile,Apr,13.065760355978883
0,60.0,38000.0,400.0,,ads,US,1.0,2.5,user519@domain19.com,mobile,Sep,-0.6613082120529805
0,32.0,80000.0,7.0,pro,ads,CA,9.0,12.9,user916@domain16.com,,Oct,
0,35.0,,1.0,pro,referral,CA,15.0,18.2,user922@domain22.com,desktop,Nov,15.483495401892606
1,55.0,45000.0,,basic,,US,2.0,4.5,user5@domain5.com,wearable,May,9.547182585441464
