email,phone,amount,date
diana.moore@gmail.com,5551154466,4574.00,2022-06-25
diana.smith@company.com,5557297721,3082.00,INVALID
diana.smith@company.com,5556613370,3016.65,INVALID
diana.smith@outlook.com,INVALID,0.00,2020-12-27
diana.taylor@test.com,INVALID,2434.11,2025-07-16
diana.taylor@test.com,INVALID,0.00,INVALID
diana.taylor@yahoo.com,5557121440,34.54,INVALID
diana.williams@company.com,INVALID,2688.26,INVALID
diana.williams@example.com,5555476098,2319.16,2024-04-12
diana.williams@outlook.com,5553253628,0.00,INVALID
dot.only@example.com,5550000000,0.00,2024-02-14
duplicate.test@gmail.com,5551234567,1234.56,2024-03-15
duplicate.test@gmail.com,5551234567,2000.00,2024-03-15
duplicate.test@gmail.com,5551234567,1234.56,2024-04-20
eve.brown@company.com,5558332181,271.86,INVALID
eve.brown@test.com,INVALID,0.00,2023-04-19
eve.brown@yahoo.com,INVALID,0.00,INVALID
eve.brown@yahoo.com,INVALID,3418.90,INVALID
eve.davis@example.com,5555162270,0.00,2024-02-24
eve.davis@outlook.com,5552072162,725.17,INVALID
eve.davis@yahoo.com,INVALID,2888.42,INVALID
eve.johnson@test.com,INVALID,3950.90,2024-02-20
eve.johnson@test.com,5558701870,4193.02,2022-05-23
eve.jones@example.com,INVALID,851.00,INVALID
eve.jones@example.com,INVALID,4658.07,INVALID
eve.jones@gmail.com,5558317533,1244.00,2024-05-19
eve.jones@yahoo.com,INVALID,4677.00,2023-06-10
eve.jones@yahoo.com,INVALID,3145.36,INVALID
eve.jones@yahoo.com,5556638642,3144.86,INVALID
eve.miller@gmail.com,5559394114,3133.23,INVALID
eve.miller@test.com,5553252860,2313.64,2023-07-24
eve.miller@yahoo.com,5558448638,0.00,2024-09-27
eve.moore@company.com,5555016139,3893.85,INVALID
eve.moore@outlook.com,5555566500,4764.00,INVALID
eve.moore@yahoo.com,5558403666,0.00,2023-12-26
eve.moore@yahoo.com,5553189114,1895.14,INVALID
eve.smith@example.com,INVALID,0.00,INVALID
eve.smith@outlook.com,INVALID,4498.07,2023-10-27
eve.smith@outlook.com,5551779710,4399.64,INVALID
eve.smith@test.com,5555681575,1242.00,INVALID
eve.taylor@company.com,5559146915,0.00,2023-05-05
eve.taylor@company.com,INVALID,2135.65,2022-02-14
eve.taylor@company.com,INVALID,1115.77,2024-04-10
eve.taylor@gmail.com,INVALID,0.00,2025-09-15
eve.taylor@outlook.com,5553867528,0.00,INVALID
eve.taylor@test.com,5559297760,0.00,2024-03-04
eve.taylor@test.com,5557028781,4928.13,INVALID
eve.williams@gmail.com,5556559648,0.00,2020-10-11
eve.williams@gmail.com,INVALID,0.00,2023-03-24
eve.wilson@example.com,INVALID,2643.78,INVALID
eve.wilson@example.com,5557904553,911.92,2022-04-10
eve.wilson@gmail.com,5554949252,3329.49,INVALID
eve.wilson@gmail.com,INVALID,1215.07,2022-02-17
eve.wilson@test.com,INVALID,0.00,2023-08-02
eve.wilson@yahoo.com,INVALID,711.98,2020-11-25
frank.brown@example.com,5559765593,4348.00,2025-09-17
frank.brown@example.com,5557664520,1166.05,2025-09-25
frank.brown@test.com,INVALID,1945.61,2021-05-08
frank.brown@yahoo.com,5554131179,788.20,INVALID
frank.davis@test.com,INVALID,0.00,INVALID
frank.johnson@example.com,INVALID,1850.12,2020-12-25
frank.johnson@outlook.com,INVALID,317.10,2023-03-09
frank.johnson@test.com,5555019123,1016.18,2020-04-21
frank.johnson@yahoo.com,INVALID,48.68,2023-06-01
frank.miller@test.com,5559247298,119.00,INVALID
frank.miller@test.com,INVALID,0.00,INVALID
frank.moore@outlook.com,INVALID,2530.14,INVALID
frank.smith@example.com,5558915557,0.00,INVALID
frank.smith@outlook.com,INVALID,0.00,INVALID
frank.smith@outlook.com,INVALID,2941.30,INVALID
frank.smith@yahoo.com,5559092528,1220.45,INVALID
frank.taylor@test.com,INVALID,0.00,2024-08-22
frank.taylor@test.com,5556209171,3186.43,2020-06-09
frank.williams@outlook.com,5557152681,0.00,INVALID
frank.williams@outlook.com,5551765979,0.00,2021-06-15
frank.wilson@gmail.com,INVALID,547.81,INVALID
frank.wilson@gmail.com,INVALID,0.00,INVALID
frank.wilson@gmail.com,5552429668,0.00,2025-06-18
frank.wilson@yahoo.com,INVALID,1260.68,2023-09-07
grace.brown@gmail.com,INVALID,686.69,2024-07-14
grace.brown@gmail.com,5555434501,0.00,2020-04-07
grace.davis@example.com,5557961169,0.00,2024-06-19
grace.davis@example.com,INVALID,879.19,2022-02-08
grace.davis@yahoo.com,INVALID,3032.15,2023-11-08
grace.davis@yahoo.com,5555531823,4992.38,2021-06-22
grace.miller@test.com,INVALID,2877.00,2021-01-08
grace.moore@company.com,5551098637,0.00,INVALID
grace.moore@outlook.com,5556828946,0.00,INVALID
grace.smith@example.com,INVALID,2505.15,INVALID
grace.wilson@outlook.com,5558373398,4992.50,2022-02-24
grace.wilson@test.com,5555601607,164.38,INVALID
grace.wilson@yahoo.com,INVALID,2850.32,INVALID
henry.brown@company.com,5559188456,0.00,INVALID
henry.brown@test.com,INVALID,0.00,INVALID
henry.davis@example.com,INVALID,0.00,2025-04-15
henry.davis@example.com,5558478576,1692.63,2020-01-18
henry.davis@gmail.com,5559454543,0.00,INVALID
henry.davis@outlook.com,INVALID,328.95,INVALID
henry.johnson@company.com,INVALID,2495.42,INVALID
henry.johnson@company.com,5558045715,4964.54,2020-10-23
henry.johnson@company.com,INVALID,0.00,INVALID
henry.johnson@example.com,5551741711,3344.00,2023-02-18
henry.johnson@gmail.com,5558561195,1750.59,INVALID
henry.jones@example.com,INVALID,3196.44,2023-03-11
henry.jones@test.com,INVALID,0.00,2025-01-10
henry.miller@example.com,INVALID,2135.26,INVALID
henry.miller@gmail.com,5556062777,4715.97,2025-01-16
henry.miller@outlook.com,INVALID,0.00,2022-08-06
henry.miller@test.com,5552951307,0.00,2020-09-12
henry.moore@company.com,INVALID,1219.01,INVALID
henry.moore@gmail.com,5556087556,0.00,2021-05-18
henry.moore@gmail.com,INVALID,688.65,INVALID
henry.smith@test.com,5555506601,823.58,INVALID
henry.taylor@company.com,INVALID,1389.00,2021-08-22
henry.taylor@gmail.com,INVALID,3455.28,INVALID
henry.taylor@outlook.com,INVALID,0.00,INVALID
henry.taylor@test.com,INVALID,2279.11,2023-07-24
henry.williams@company.com,5553927909,0.00,2020-07-05
henry.wilson@example.com,5551704028,2664.82,2023-08-17
henry.wilson@outlook.com,INVALID,2603.66,2021-08-16
irene.brown@gmail.com,INVALID,2504.85,2020-08-06
irene.brown@outlook.com,5556396581,978.88,2024-02-28
irene.brown@test.com,5552302442,3290.81,2021-10-11
irene.brown@test.com,INVALID,2266.00,INVALID
irene.brown@yahoo.com,INVALID,1976.58,2025-05-02
irene.davis@company.com,5551155931,1649.00,2020-09-07
irene.davis@example.com,5559677601,4697.52,INVALID
irene.davis@example.com,5556366097,2539.89,INVALID
irene.davis@gmail.com,INVALID,1299.73,2023-07-15
irene.davis@outlook.com,INVALID,2297.50,2024-01-13
irene.johnson@outlook.com,5556498470,3672.00,2022-02-01
irene.johnson@yahoo.com,INVALID,433.72,INVALID
irene.johnson@yahoo.com,INVALID,2833.43,INVALID
irene.jones@company.com,5556362926,805.41,2023-06-11
irene.jones@gmail.com,5555836164,4513.07,2024-04-16
irene.jones@outlook.com,5554355063,0.00,2021-09-13
irene.jones@yahoo.com,5553834859,3862.94,2022-12-21
irene.miller@company.com,INVALID,1236.05,INVALID
irene.miller@gmail.com,5558039201,562.65,2024-03-01
irene.miller@outlook.com,5553463137,4487.76,2024-10-15
irene.miller@yahoo.com,5552241478,1148.77,2025-05-18
irene.moore@gmail.com,5554646850,1042.54,2025-09-09
irene.moore@yahoo.com,INVALID,686.64,INVALID
irene.smith@company.com,INVALID,3937.98,2025-02-04
irene.smith@outlook.com,5556139031,0.00,INVALID
irene.smith@yahoo.com,INVALID,2819.05,2021-03-20
irene.smith@yahoo.com,INVALID,0.00,INVALID
irene.taylor@example.com,5553039087,2937.12,2021-05-17
irene.taylor@gmail.com,5551222216,3674.93,2021-05-11
irene.williams@yahoo.com,INVALID,897.59,2023-02-18
irene.wilson@company.com,INVALID,821.71,INVALID
jack.brown@company.com,5551567743,1457.03,2024-01-03
jack.brown@company.com,5552189937,2608.86,INVALID
jack.brown@company.com,5558622538,0.00,2023-01-16
jack.brown@example.com,5559296166,3106.42,INVALID
jack.brown@outlook.com,INVALID,1605.10,2020-10-04
jack.davis@gmail.com,INVALID,1091.07,INVALID
jack.davis@gmail.com,INVALID,2933.74,INVALID
jack.davis@outlook.com,INVALID,811.04,INVALID
jack.johnson@example.com,5556385091,1661.14,2022-08-15
jack.johnson@gmail.com,5559628230,4110.61,2021-01-13
jack.johnson@outlook.com,5553423969,927.61,2024-12-27
jack.johnson@yahoo.com,INVALID,4985.55,2020-08-01
jack.jones@example.com,INVALID,3036.54,INVALID
jack.jones@test.com,INVALID,2033.00,2023-06-05
jack.miller@outlook.com,5552323952,2300.70,2023-02-18
jack.miller@test.com,INVALID,0.00,2024-01-07
jack.moore@company.com,INVALID,3171.40,2024-02-25
jack.moore@example.com,5556566882,2103.25,INVALID
jack.moore@outlook.com,5558751192,4269.71,INVALID
jack.moore@test.com,INVALID,0.00,2021-05-12
jack.moore@yahoo.com,INVALID,3950.84,INVALID
jack.smith@gmail.com,5558939193,3619.58,INVALID
jack.smith@test.com,INVALID,2505.00,2021-01-10
jack.taylor@gmail.com,5556665142,0.00,INVALID
jack.taylor@outlook.com,INVALID,3762.00,2025-07-20
jack.taylor@yahoo.com,5551241389,3478.73,2020-12-22
jack.williams@example.com,INVALID,0.00,2021-12-12
jack.williams@yahoo.com,5556864131,3217.81,INVALID
jack.williams@yahoo.com,5552825184,2869.89,INVALID
jack.wilson@company.com,5559042238,0.00,2024-06-02
jack.wilson@company.com,INVALID,2339.74,INVALID
jack.wilson@gmail.com,INVALID,273.05,2021-01-15
jane.brown@outlook.com,5558164717,1984.07,INVALID
jane.brown@outlook.com,INVALID,4955.19,INVALID
jane.brown@test.com,INVALID,4501.03,2021-07-23
jane.brown@test.com,5552052229,2671.16,2023-01-28
jane.davis@company.com,5559272873,0.00,2020-10-26
jane.davis@example.com,5551518792,806.05,INVALID
jane.davis@outlook.com,INVALID,3455.91,2023-08-07
jane.davis@test.com,5553373877,3208.10,2020-08-27
jane.johnson@gmail.com,5552073580,2697.50,INVALID
jane.johnson@gmail.com,INVALID,2802.71,INVALID
jane.johnson@gmail.com,5552609705,0.00,2023-03-20
jane.johnson@test.com,INVALID,2938.00,2024-10-28
jane.johnson@test.com,5556567747,4576.45,2023-12-24
jane.johnson@yahoo.com,5559138886,4156.74,INVALID
jane.miller@company.com,5553509604,4907.18,2024-11-02
jane.miller@company.com,5551058504,553.64,INVALID
jane.miller@gmail.com,5558051048,2225.85,INVALID
jane.miller@gmail.com,5553302949,4429.23,2020-08-28
jane.miller@yahoo.com,INVALID,4431.72,INVALID
jane.moore@example.com,INVALID,0.00,2020-08-27
jane.moore@gmail.com,5558572646,3240.80,2024-05-16
jane.moore@gmail.com,5552126541,0.00,INVALID
jane.moore@test.com,5557362424,0.00,2022-01-02
jane.moore@test.com,INVALID,0.00,2022-07-19
jane.smith@example.com,INVALID,0.00,INVALID
jane.smith@test.com,INVALID,2424.86,2024-11-13
jane.taylor@company.com,5553873312,2988.00,INVALID
jane.taylor@company.com,INVALID,0.00,INVALID
jane.taylor@outlook.com,5558124461,0.00,2022-06-04
jane.taylor@test.com,5557332161,709.40,2024-04-22
jane.taylor@yahoo.com,5551381880,733.20,2020-02-16
jane.williams@yahoo.com,5551464074,232.86,2023-03-22
jane.wilson@gmail.com,INVALID,3088.63,INVALID
jane.wilson@yahoo.com,5557901610,0.00,INVALID
john.brown@gmail.com,5554433807,4958.00,2021-01-06
john.brown@outlook.com,INVALID,0.00,2020-06-25
john.brown@outlook.com,INVALID,0.00,INVALID
john.brown@yahoo.com,5552646681,0.00,2021-05-02
john.johnson@company.com,5555285463,321.08,2020-06-25
john.johnson@example.com,INVALID,2929.55,INVALID
john.johnson@gmail.com,5557817904,3996.22,2024-08-14
john.johnson@outlook.com,INVALID,2047.79,2024-05-08
john.jones@company.com,5553083563,2890.81,2021-05-21
john.jones@company.com,5559521132,0.00,2022-01-22
john.jones@example.com,5558755896,135.60,INVALID
john.jones@test.com,5553865525,739.19,2020-10-07
john.jones@yahoo.com,5553343523,2736.41,INVALID
john.jones@yahoo.com,5556784619,1325.39,INVALID
john.miller@example.com,5551535727,4751.40,2024-04-02
john.miller@example.com,INVALID,288.00,2022-03-16
john.miller@gmail.com,5554955029,505.74,2024-04-05
john.miller@yahoo.com,INVALID,0.00,2020-01-23
john.moore@company.com,5557138841,2929.39,2021-09-14
john.moore@gmail.com,5556277843,0.00,INVALID
john.smith@company.com,INVALID,3564.26,2023-10-22
john.smith@gmail.com,5559905688,3690.41,INVALID
john.smith@gmail.com,5557534655,1557.02,INVALID
john.smith@outlook.com,5557917137,3945.01,2022-04-16
john.taylor@example.com,5552647207,3404.92,2025-08-11
john.taylor@yahoo.com,5558376817,125.03,INVALID
john.williams@company.com,5553232600,0.00,INVALID
john.williams@outlook.com,5556539465,2533.70,INVALID
john.williams@test.com,5554222090,0.00,INVALID
john.williams@yahoo.com,5554079000,0.00,INVALID
john.wilson@company.com,5559589211,4669.62,2021-06-25
kate.brown@company.com,INVALID,0.00,2024-11-19
kate.brown@example.com,INVALID,0.00,INVALID
kate.brown@example.com,5556179496,4772.00,INVALID
kate.brown@example.com,5552707152,0.00,2020-05-09
kate.davis@example.com,5556698497,0.00,INVALID
kate.davis@outlook.com,5557779881,0.00,INVALID
kate.davis@outlook.com,INVALID,866.54,2023-02-06
kate.johnson@company.com,INVALID,0.00,2021-01-02
kate.johnson@gmail.com,INVALID,1368.86,2023-06-14
kate.johnson@gmail.com,5559189158,4373.78,2022-02-24
kate.johnson@gmail.com,INVALID,0.00,INVALID
kate.johnson@yahoo.com,INVALID,971.57,2023-02-06
kate.miller@gmail.com,INVALID,4177.29,INVALID
kate.miller@outlook.com,5556036152,4266.18,INVALID
kate.miller@test.com,5555521347,0.00,INVALID
kate.moore@gmail.com,5552857127,1430.00,2021-12-20
kate.moore@gmail.com,5555634683,992.86,2020-08-11
kate.moore@gmail.com,INVALID,0.00,2024-06-02
kate.smith@company.com,INVALID,0.00,2022-12-10
kate.smith@example.com,5552852018,0.00,INVALID
kate.taylor@example.com,5554777428,2283.64,2021-06-24
kate.taylor@yahoo.com,INVALID,2591.15,INVALID
kate.williams@company.com,INVALID,0.00,2023-09-05
kate.williams@company.com,5559072296,0.00,INVALID
kate.williams@outlook.com,INVALID,3485.89,2023-05-13
kate.wilson@company.com,INVALID,0.00,2025-03-20
kate.wilson@example.com,5559009736,0.00,2021-05-18
kate.wilson@test.com,INVALID,4390.00,2023-09-18
leo.brown@example.com,5552666027,3314.20,INVALID
leo.brown@gmail.com,5558547929,1823.36,2024-05-08
leo.brown@test.com,INVALID,2243.00,2022-10-04
leo.davis@gmail.com,5558037875,918.27,2022-11-03
leo.johnson@company.com,INVALID,4436.75,INVALID
leo.johnson@example.com,5555481597,3838.29,2025-01-24
leo.johnson@example.com,INVALID,101.03,2022-04-07
leo.johnson@gmail.com,5555141922,2544.56,INVALID
leo.johnson@test.com,INVALID,141.18,2023-08-05
leo.johnson@test.com,INVALID,4900.26,INVALID
leo.johnson@yahoo.com,INVALID,0.00,2025-08-13
leo.jones@company.com,INVALID,3878.25,INVALID
leo.miller@gmail.com,INVALID,1111.00,2025-05-25
leo.miller@outlook.com,5553786234,2090.69,2024-11-16
leo.miller@yahoo.com,5556826729,4148.64,2020-08-21
leo.miller@yahoo.com,INVALID,0.00,INVALID
leo.moore@example.com,5551153795,3142.35,2025-02-09
leo.moore@example.com,5551282387,4874.00,INVALID
leo.smith@example.com,5556196421,3576.33,2025-10-05
leo.smith@gmail.com,INVALID,4819.52,INVALID
leo.smith@outlook.com,INVALID,839.26,INVALID
leo.smith@outlook.com,5551269420,230.95,INVALID
leo.smith@outlook.com,INVALID,4516.31,INVALID
leo.smith@yahoo.com,INVALID,0.00,INVALID
leo.taylor@example.com,INVALID,0.00,2020-12-25
leo.taylor@test.com,INVALID,4332.37,INVALID
leo.williams@company.com,5556264773,55.81,2021-06-20
leo.williams@outlook.com,5558949912,1883.51,2023-01-18
leo.williams@yahoo.com,INVALID,2601.34,2023-05-11
leo.wilson@outlook.com,INVALID,3119.99,2023-10-25
mary.brown@company.com,5557309954,4460.00,2022-02-28
mary.davis@company.com,INVALID,3799.70,2020-02-13
mary.davis@company.com,INVALID,2960.63,INVALID
mary.davis@example.com,5554031603,0.00,INVALID
mary.davis@gmail.com,INVALID,0.00,INVALID
mary.davis@outlook.com,5557928241,4182.04,INVALID
mary.davis@outlook.com,INVALID,0.00,2023-01-07
mary.johnson@company.com,5551385287,777.80,INVALID
mary.johnson@example.com,INVALID,435.98,INVALID
mary.johnson@example.com,5554688193,0.00,2020-07-26
mary.johnson@yahoo.com,5553863509,3645.38,INVALID
mary.johnson@yahoo.com,5552548181,3181.58,2021-12-09
mary.jones@gmail.com,5553436768,2998.00,2024-06-03
mary.moore@example.com,5556989199,460.01,INVALID
mary.moore@outlook.com,5556223864,4191.72,INVALID
mary.smith@outlook.com,INVALID,3179.50,2021-06-06
mary.smith@test.com,5559179058,0.00,2024-11-11
mary.taylor@outlook.com,INVALID,2369.07,2020-10-12
mary.taylor@test.com,INVALID,0.00,2020-11-02
mary.williams@example.com,INVALID,0.00,2022-03-17
mary.williams@example.com,INVALID,3621.00,INVALID
mary.williams@gmail.com,INVALID,3021.48,INVALID
mary.williams@gmail.com,INVALID,2209.37,INVALID
mary.williams@gmail.com,5555197973,2057.07,2025-02-07
mary.williams@test.com,INVALID,61.61,2024-09-03
mary.williams@yahoo.com,INVALID,0.00,INVALID
mary.williams@yahoo.com,INVALID,4689.88,2025-06-20
mary.wilson@example.com,5556407374,0.00,2022-06-02
mary.wilson@gmail.com,5551481734,0.00,2021-06-09
mary.wilson@test.com,5558428873,4114.23,INVALID
negative.euro@test.com,INVALID,0.00,INVALID
nick.brown@gmail.com,5554162037,0.00,INVALID
nick.brown@outlook.com,INVALID,4625.31,2022-07-24
nick.davis@test.com,5558714124,0.00,2020-12-05
nick.johnson@example.com,INVALID,1636.58,INVALID
nick.johnson@example.com,INVALID,0.00,INVALID
nick.johnson@gmail.com,INVALID,3313.11,2020-06-22
nick.jones@gmail.com,INVALID,0.00,INVALID
nick.jones@outlook.com,INVALID,3856.14,2022-01-17
nick.jones@test.com,INVALID,0.00,INVALID
nick.jones@yahoo.com,5551865031,1471.40,2022-05-01
nick.miller@company.com,INVALID,2270.20,2024-12-16
nick.miller@gmail.com,INVALID,0.00,2023-06-21
nick.miller@yahoo.com,INVALID,1665.93,INVALID
nick.smith@company.com,5559819417,126.22,2020-09-02
nick.smith@gmail.com,5558496273,3908.64,INVALID
nick.taylor@company.com,INVALID,0.00,INVALID
nick.taylor@gmail.com,5554212934,3177.80,2022-07-19
nick.taylor@outlook.com,INVALID,0.00,2025-10-19
nick.taylor@test.com,5559868074,3101.00,INVALID
nick.taylor@yahoo.com,5556407379,0.00,INVALID
nick.williams@gmail.com,5559711060,0.00,INVALID
nick.wilson@gmail.com,INVALID,0.00,2020-08-11
nick.wilson@gmail.com,INVALID,0.00,2020-12-04
old.date@sample.org,5551112222,10.00,INVALID
olivia.brown@company.com,INVALID,1984.43,INVALID
olivia.davis@example.com,5558704792,1947.23,INVALID
olivia.davis@outlook.com,INVALID,0.00,2022-05-12
olivia.davis@yahoo.com,INVALID,0.00,2021-05-19
olivia.davis@yahoo.com,INVALID,0.00,INVALID
olivia.johnson@outlook.com,INVALID,996.57,2022-06-16
olivia.johnson@yahoo.com,5554423201,1496.19,2020-11-01
olivia.jones@example.com,5559516392,1526.25,2024-07-09
olivia.jones@example.com,5551895867,0.00,INVALID
olivia.miller@outlook.com,INVALID,768.64,2021-04-08
olivia.miller@outlook.com,5551583245,4067.72,2021-04-07
olivia.miller@test.com,INVALID,248.19,2025-06-04
olivia.miller@test.com,INVALID,3098.95,INVALID
